ORI,YEAR,MRD,CLR,State,County,Agency
NJ00434,2011,1,1,New Jersey,"Camden, NJ",Voorhees Township
OR00901,2016,0,1,Oregon,"Deschutes, OR",Bend
FL04805,2013,2,1,Florida,"Orange, FL",Winter Garden
VA12800,2016,21,18,Virginia,"Virginia Beach, VA",Virginia Beach
CA04004,2013,2,1,California,"San Luis Obispo, CA",Paso Robles
LA03401,2018,3,2,Louisiana,"Morehouse, LA",Bastrop
NJ01213,2011,1,1,New Jersey,"Middlesex, NJ",Monroe Township
AR06007,2017,3,0,Arkansas,"Pulaski, AR",Alexander
MI74074,2010,2,2,Michigan,"St. Clair, MI",State Police: St. Clair County
GA03102,2016,4,3,Georgia,"Clayton, GA",Forest Park
PA01501,2011,2,0,Pennsylvania,"Chester, PA",Coatesville
MO04800,2017,1,1,Missouri,"Jackson, MO",Jackson County
NC03402,2014,13,6,North Carolina,"Forsyth, NC",Winston-Salem
IA09001,2014,1,1,Iowa,"Wapello, IA",Ottumwa
MDBPD00,2018,309,131,Maryland,"Baltimore city, MD",Baltimore
PA03605,2011,5,3,Pennsylvania,"Lancaster, PA",Lancaster
MA00710,2011,4,3,Massachusetts,"Hampden, MA",Holyoke
OK00301,2015,2,2,Oklahoma,"Atoka, OK",Atoka
TX24600,2019,1,1,Texas,"Williamson, TX",Williamson County
PA04621,2014,3,2,Pennsylvania,"Montgomery, PA",Plymouth Township
GA07701,2016,1,0,Georgia,"Irwin, GA",Ocilla
LA00801,2019,2,2,Louisiana,"Bossier, LA",Bossier City
OH00703,2018,1,0,Ohio,"Belmont, OH",Bridgeport
OR02200,2018,1,2,Oregon,"Linn, OR",Linn County
CT00084,2010,1,2,Connecticut,"New Haven, CT",Milford
CO04700,2013,1,1,Colorado,"Park, CO",Park County
RI00201,2012,1,1,Rhodes Island,"Kent, RI",Coventry
TX08407,2010,2,1,Texas,"Galveston, TX",La Marque
WY00401,2015,1,0,Wyoming,"Carbon, WY",Rawlins
LA05901,2018,1,0,Louisiana,"Washington, LA",Bogalusa
TX17703,2011,1,1,Texas,"Nolan, TX",Sweetwater
AR02802,2017,1,1,Arkansas,"Greene, AR",Marmaduke
MI50806,2014,4,4,Michigan,"Macomb, MI",Warren
OR02002,2018,3,2,Oregon,"Lane, OR",Eugene
TN07200,2017,1,1,Tennessee,"Rhea, TN",Rhea County
FL05028,2011,2,0,Florida,"Palm Beach, FL",Royal Palm Beach
SC01100,2017,1,1,South Carolina,"Cherokee, SC",Cherokee County
CA03905,2014,49,20,California,"San Joaquin, CA",Stockton
