ORI,State,County,Agency
FL00506,Florida,"Brevard, FL",Indian Harbour Beach
FL00507,Florida,"Brevard, FL",Melbourne
FL00509,Florida,"Brevard, FL",Rockledge
FL00510,Florida,"Brevard, FL",Satellite Beach
FL00511,Florida,"Brevard, FL",Titusville
FL00512,Florida,"Brevard, FL",Palm Bay
FL00516,Florida,"Brevard, FL",West Melbourne
FL00600,Florida,"Broward, FL",Broward County
FL00601,Florida,"Broward, FL",Dania
FL00602,Florida,"Broward, FL",Deerfield Beach
FL00603,Florida,"Broward, FL",Fort Lauderdale
FL00604,Florida,"Broward, FL",Hallandale
FL00605,Florida,"Broward, FL",Hollywood
FL00606,Florida,"Broward, FL",Plantation
FL00607,Florida,"Broward, FL",Pompano Beach
FL00608,Florida,"Broward, FL",Pembroke Pines
FL00609,Florida,"Broward, FL",Wilton Manors
FL00610,Florida,"Broward, FL",Cooper City
FL00611,Florida,"Broward, FL",Coconut Creek
FL00612,Florida,"Broward, FL",Davie
FL00616,Florida,"Broward, FL",Lauderdale-By-The-Sea
FL00617,Florida,"Broward, FL",Lauderdale Lakes
FL00618,Florida,"Broward, FL",Lauderhill
FL00620,Florida,"Broward, FL",Lighthouse Point
FL00621,Florida,"Broward, FL",Margate
FL00622,Florida,"Broward, FL",Miramar
FL00623,Florida,"Broward, FL",North Lauderdale
FL00624,Florida,"Broward, FL",Oakland Park
FL00627,Florida,"Broward, FL",Sunrise
FL00628,Florida,"Broward, FL",Coral Springs
FL00630,Florida,"Broward, FL",Pembroke Park
FL00631,Florida,"Broward, FL",Tamarac
FL00632,Florida,"Broward, FL",Fort Lauderdale Airport
FL00633,Florida,"Broward, FL",Parkland
FL00634,Florida,"Broward, FL",Seminole Tribal
FL00641,Florida,"Broward, FL",Department of Agriculture
FL00688,Florida,"Broward, FL",Weston
FL00700,Florida,"Calhoun, FL",Calhoun County
FL00800,Florida,"Charlotte, FL",Charlotte County
FL00802,Florida,"Charlotte, FL",Punta Gorda
FL00900,Florida,"Citrus, FL",Citrus County
FL01000,Florida,"Clay, FL",Clay County
FL01001,Florida,"Clay, FL",Green Cove Springs
FL01002,Florida,"Clay, FL",Orange Park
FL01100,Florida,"Collier, FL",Collier County
FL01101,Florida,"Collier, FL",Naples
FL01103,Florida,"Collier, FL",Marco Island
FL01200,Florida,"Columbia, FL",Columbia County
FL01201,Florida,"Columbia, FL",Lake City
FL01300,Florida,"Dade, FL",Miami-Dade
FL01300,Florida,"Miami-Dade, FL",Miami-Dade
FL01302,Florida,"Dade, FL",Coral Gables
FL01302,Florida,"Miami-Dade, FL",Coral Gables
FL01303,Florida,"Dade, FL",Florida City
FL01303,Florida,"Miami-Dade, FL",Florida City
FL01304,Florida,"Dade, FL",Hialeah
FL01304,Florida,"Miami-Dade, FL",Hialeah
FL01305,Florida,"Dade, FL",Homestead
FL01305,Florida,"Miami-Dade, FL",Homestead
FL01306,Florida,"Dade, FL",Miami
FL01306,Florida,"Miami-Dade, FL",Miami
FL01307,Florida,"Dade, FL",Miami Beach
FL01307,Florida,"Miami-Dade, FL",Miami Beach
FL01308,Florida,"Dade, FL",Miami Shores
FL01308,Florida,"Miami-Dade, FL",Miami Shores
FL01309,Florida,"Dade, FL",Miami Springs
FL01309,Florida,"Miami-Dade, FL",Miami Springs
FL01310,Florida,"Dade, FL",North Miami Beach
FL01310,Florida,"Miami-Dade, FL",North Miami Beach
FL01311,Florida,"Miami-Dade, FL",Doral
FL01312,Florida,"Miami-Dade, FL",Opa Locka
FL01313,Florida,"Miami-Dade, FL",Surfside
FL01315,Florida,"Miami-Dade, FL",El Portal
FL01316,Florida,"Miami-Dade, FL",Hialeah Gardens
FL01317,Florida,"Miami-Dade, FL",North Bay Village
FL01318,Florida,"Miami-Dade, FL",North Miami
FL01319,Florida,"Miami-Dade, FL",South Miami
FL01327,Florida,"Miami-Dade, FL",Medley
FL01329,Florida,"Miami-Dade, FL",Sweetwater
FL01331,Florida,"Miami-Dade, FL",Florida International University
FL01337,Florida,"Miami-Dade, FL",Miami-Dade County Public School
FL01339,Florida,"Miami-Dade, FL",Miccosukee Tribal
FL01351,Florida,"Miami-Dade, FL",Sunny Isles Beach
FL01367,Florida,"Miami-Dade, FL",Miami Gardens
FL01391,Florida,"Miami-Dade, FL",Aventura
FL01393,Florida,"Miami-Dade, FL",Miami Lakes
FL01395,Florida,"Miami-Dade, FL",Palmetto Bay
FL01397,Florida,"Miami-Dade, FL",Miami Gardens
FL01400,Florida,"De Soto, FL",Desoto County
FL01401,Florida,"De Soto, FL",Arcadia
FL01500,Florida,"Dixie, FL",Dixie County
FL01501,Florida,"Dixie, FL",Cross City
FL01601,Florida,"Duval, FL",Atlantic Beach
FL01602,Florida,"Duval, FL",Jacksonville
FL01603,Florida,"Duval, FL",Jacksonville Beach
FL01604,Florida,"Duval, FL",Neptune Beach
FL01611,Florida,"Duval, FL",Duval County Schools
FL01700,Florida,"Escambia, FL",Escambia County
FL01701,Florida,"Escambia, FL",Pensacola
FL01800,Florida,"Flagler, FL",Flagler County
FL01801,Florida,"Flagler, FL",Bunnell
FL01802,Florida,"Flagler, FL",Flagler Beach
FL01900,Florida,"Franklin, FL",Franklin County
FL02000,Florida,"Gadsden, FL",Gadsden County
FL02001,Florida,"Gadsden, FL",Quincy
FL02002,Florida,"Gadsden, FL",Chattahoochee
FL02003,Florida,"Gadsden, FL",Havana
FL02100,Florida,"Gilchrist, FL",Gilchrist County
FL02102,Florida,"Gilchrist, FL",Trenton
FL02200,Florida,"Glades, FL",Glades County
FL02300,Florida,"Gulf, FL",Gulf County
FL02400,Florida,"Hamilton, FL",Hamilton County
FL02403,Florida,"Hamilton, FL",White Springs
FL02500,Florida,"Hardee, FL",Hardee County
FL02501,Florida,"Hardee, FL",Bowling Green
FL02502,Florida,"Hardee, FL",Wauchula
FL02600,Florida,"Hendry, FL",Hendry County
FL02601,Florida,"Hendry, FL",Clewiston
FL02700,Florida,"Hernando, FL",Hernando County
FL02701,Florida,"Hernando, FL",Brooksville
FL02800,Florida,"Highlands, FL",Highlands County
FL02802,Florida,"Highlands, FL",Lake Placid
FL02803,Florida,"Highlands, FL",Sebring
FL02900,Florida,"Hillsborough, FL",Hillsborough County
FL02901,Florida,"Hillsborough, FL",Plant City
FL02902,Florida,"Hillsborough, FL",Tampa
FL02903,Florida,"Hillsborough, FL",Temple Terrace
FL02905,Florida,"Hillsborough, FL","Department of Law Enforcement: Hillsborough, Tampa"
FL03000,Florida,"Holmes, FL",Holmes County
FL03001,Florida,"Holmes, FL",Holmes
FL03100,Florida,"Indian River, FL",Indian River County
FL03101,Florida,"Indian River, FL",Fellsmere
FL03102,Florida,"Indian River, FL",Sebastian
FL03103,Florida,"Indian River, FL",Vero Beach
FL03200,Florida,"Jackson, FL",Jackson County
FL03201,Florida,"Jackson, FL",Marianna
FL03203,Florida,"Jackson, FL",Graceville
FL03300,Florida,"Jefferson, FL",Jefferson County
FL03301,Florida,"Jefferson, FL",Monticello
FL03400,Florida,"Lafayette, FL",Lafayette County
FL03500,Florida,"Lake, FL",Lake County
FL03501,Florida,"Lake, FL",Eustis
FL03502,Florida,"Lake, FL",Leesburg
FL03503,Florida,"Lake, FL",Clermont
FL03504,Florida,"Lake, FL",Fruitland Park
FL03507,Florida,"Lake, FL",Mascotte
FL03510,Florida,"Lake, FL",Mount Dora
FL03511,Florida,"Lake, FL",Tavares
FL03600,Florida,"Lee, FL",Lee County
FL03601,Florida,"Lee, FL",Fort Myers
FL03602,Florida,"Lee, FL",Cape Coral
FL03700,Florida,"Leon, FL",Leon County
FL03703,Florida,"Leon, FL",Tallahassee
FL03704,Florida,"Leon, FL","Department of Law Enforcement: Leon County,  Talla"
FL03800,Florida,"Levy, FL",Levy County
FL03900,Florida,"Liberty, FL",Liberty County
FL04000,Florida,"Madison, FL",Madison County
FL04001,Florida,"Madison, FL",Madison
FL04100,Florida,"Manatee, FL",Manatee County
FL04102,Florida,"Manatee, FL",Bradenton
FL04104,Florida,"Manatee, FL",Holmes Beach
FL04105,Florida,"Manatee, FL",Longboat Key
FL04106,Florida,"Manatee, FL",Palmetto
FL04200,Florida,"Marion, FL",Marion County
FL04201,Florida,"Marion, FL",Ocala
FL04202,Florida,"Marion, FL",Belleview
FL04300,Florida,"Martin, FL",Martin County
FL04301,Florida,"Martin, FL",Stuart
FL04400,Florida,"Monroe, FL",Monroe County
FL04401,Florida,"Monroe, FL",Key West
FL04500,Florida,"Nassau, FL",Nassau County
FL04501,Florida,"Nassau, FL",Fernandina Beach
FL04600,Florida,"Okaloosa, FL",Okaloosa County
FL04601,Florida,"Okaloosa, FL",Crestview
FL04602,Florida,"Okaloosa, FL",Fort Walton Beach
FL04700,Florida,"Okeechobee, FL",Okeechobee County
FL04701,Florida,"Okeechobee, FL",Okeechobee
FL04800,Florida,"Orange, FL",Orange County
FL04801,Florida,"Orange, FL",Apopka
FL04802,Florida,"Orange, FL",Maitland
FL04803,Florida,"Orange, FL",Ocoee
FL04804,Florida,"Orange, FL",Orlando
FL04805,Florida,"Orange, FL",Winter Garden
FL04806,Florida,"Orange, FL",Winter Park
FL04807,Florida,"Orange, FL",Eatonville
FL04808,Florida,"Orange, FL",Oakland
FL04810,Florida,"Orange, FL",Edgewood
FL04811,Florida,"Orange, FL","Dle: Orange Co, Orlando"
FL04893,Florida,"Orange, FL",Belle Isle
FL04900,Florida,"Osceola, FL",Osceola County
FL04901,Florida,"Osceola, FL",St. Cloud
FL04902,Florida,"Osceola, FL",Kissimmee
FL05000,Florida,"Palm Beach, FL",Palm Beach County
FL05001,Florida,"Palm Beach, FL",Belle Glade
FL05002,Florida,"Palm Beach, FL",Boca Raton
FL05003,Florida,"Palm Beach, FL",Boynton Beach
FL05004,Florida,"Palm Beach, FL",Delray Beach
FL05005,Florida,"Palm Beach, FL",Lake Worth
FL05006,Florida,"Palm Beach, FL",Palm Beach
FL05007,Florida,"Palm Beach, FL",Riviera Beach
FL05008,Florida,"Palm Beach, FL",West Palm Beach
FL05012,Florida,"Palm Beach, FL",Greenacres City
FL05017,Florida,"Palm Beach, FL",Jupiter
FL05019,Florida,"Palm Beach, FL",Lake Park
FL05022,Florida,"Palm Beach, FL",Mangonia Park
FL05025,Florida,"Palm Beach, FL",Pahokee
FL05026,Florida,"Palm Beach, FL",Palm Beach Gardens
FL05027,Florida,"Palm Beach, FL",Palm Springs
FL05028,Florida,"Palm Beach, FL",Royal Palm Beach
FL05029,Florida,"Palm Beach, FL",South Bay
FL05031,Florida,"Palm Beach, FL",Tequesta
FL05033,Florida,"Palm Beach, FL",Palm Beach Shores
FL05038,Florida,"Palm Beach, FL",Highland Beach
FL05042,Florida,"Palm Beach, FL",Palm Beach Cnty Sch Dist
FL05050,Florida,"Palm Beach, FL",Lake Clarke Shores
FL05095,Florida,"Palm Beach, FL",Wellington
FL05100,Florida,"Pasco, FL",Pasco County
FL05101,Florida,"Pasco, FL",Dade City
FL05102,Florida,"Pasco, FL",New Port Richey
FL05103,Florida,"Pasco, FL",Zephyrhills
FL05104,Florida,"Pasco, FL",Port Richey
FL05200,Florida,"Pinellas, FL",Pinellas County
FL05202,Florida,"Pinellas, FL",Belleair Bluffs
FL05203,Florida,"Pinellas, FL",Clearwater
FL05204,Florida,"Pinellas, FL",Dunedin
FL05205,Florida,"Pinellas, FL",Gulfport
FL05206,Florida,"Pinellas, FL",Indian Rocks Beach
FL05208,Florida,"Pinellas, FL",Largo
FL05209,Florida,"Pinellas, FL",Madeira Beach
FL05210,Florida,"Pinellas, FL",Oldsmar
FL05211,Florida,"Pinellas, FL",Pinellas Park
FL05213,Florida,"Pinellas, FL",Safety Harbor
FL05214,Florida,"Pinellas, FL",St. Petersburg
FL05215,Florida,"Pinellas, FL",St. Pete Beach
FL05218,Florida,"Pinellas, FL",Tarpon Springs
FL05219,Florida,"Pinellas, FL",Treasure Island
FL05299,Florida,"Pinellas, FL",Seminole
FL05300,Florida,"Polk, FL",Polk County
FL05301,Florida,"Polk, FL",Auburndale
FL05302,Florida,"Polk, FL",Bartow
FL05309,Florida,"Polk, FL",Haines City
FL05310,Florida,"Polk, FL",Lake Alfred
FL05312,Florida,"Polk, FL",Lakeland
FL05313,Florida,"Polk, FL",Lake Wales
FL05316,Florida,"Polk, FL",Winter Haven
FL05400,Florida,"Putnam, FL",Putnam County
FL05401,Florida,"Putnam, FL",Palatka
FL05500,Florida,"St. Johns, FL",St. Johns County
FL05501,Florida,"St. Johns, FL",St. Augustine
FL05600,Florida,"St. Lucie, FL",St. Lucie County
FL05601,Florida,"St. Lucie, FL",Fort Pierce
FL05602,Florida,"St. Lucie, FL",Port St. Lucie
FL05700,Florida,"Santa Rosa, FL",Santa Rosa County
FL05701,Florida,"Santa Rosa, FL",Milton
FL05702,Florida,"Santa Rosa, FL",Gulf Breeze
FL05800,Florida,"Sarasota, FL",Sarasota County
FL05801,Florida,"Sarasota, FL",Sarasota
FL05802,Florida,"Sarasota, FL",Venice
FL05803,Florida,"Sarasota, FL",North Port
FL05900,Florida,"Seminole, FL",Seminole County
FL05901,Florida,"Seminole, FL",Altamonte Springs
FL05902,Florida,"Seminole, FL",Casselberry
FL05903,Florida,"Seminole, FL",Longwood
FL05904,Florida,"Seminole, FL",Oviedo
FL05905,Florida,"Seminole, FL",Sanford
FL05906,Florida,"Seminole, FL",Winter Springs
FL05907,Florida,"Seminole, FL",Lake Mary
FL06000,Florida,"Sumter, FL",Sumter County
FL06005,Florida,"Sumter, FL",Wildwood
FL06100,Florida,"Suwannee, FL",Suwannee County
FL06102,Florida,"Suwannee, FL",Live Oak
FL06200,Florida,"Taylor, FL",Taylor County
FL06201,Florida,"Taylor, FL",Perry
FL06300,Florida,"Union, FL",Union County
FL06400,Florida,"Volusia, FL",Volusia County
FL06401,Florida,"Volusia, FL",Daytona Beach
FL06402,Florida,"Volusia, FL",Deland
FL06403,Florida,"Volusia, FL",New Smyrna Beach
FL06404,Florida,"Volusia, FL",Ormond Beach
FL06405,Florida,"Volusia, FL",Daytona Beach Shores
FL06406,Florida,"Volusia, FL",Edgewater
FL06407,Florida,"Volusia, FL",Holly Hill
FL06408,Florida,"Volusia, FL",Lake Helen
FL06410,Florida,"Volusia, FL",Orange City
FL06412,Florida,"Volusia, FL",Port Orange
FL06413,Florida,"Volusia, FL",South Daytona
FL06500,Florida,"Wakulla, FL",Wakulla County
FL06600,Florida,"Walton, FL",Walton County
FL06601,Florida,"Walton, FL",De Funiak Springs
FL06700,Florida,"Washington, FL",Washington County
GA00100,Georgia,"Appling, GA",Appling County
GA00101,Georgia,"Appling, GA",Baxley
GA00201,Georgia,"Atkinson, GA",Pearson
GA00301,Georgia,"Bacon, GA",Alma
GA00401,Georgia,"Baker, GA",Newton
GA00500,Georgia,"Baldwin, GA",Baldwin County
GA00501,Georgia,"Baldwin, GA",Milledgeville
GA00600,Georgia,"Banks, GA",Banks County
GA00700,Georgia,"Barrow, GA",Barrow County
GA00701,Georgia,"Barrow, GA",Winder
GA00702,Georgia,"Barrow, GA",Auburn
GA00800,Georgia,"Bartow, GA",Bartow County
GA00801,Georgia,"Bartow, GA",Cartersville
GA00802,Georgia,"Bartow, GA",Adairsville
GA00807,Georgia,"Bartow, GA",Euharlee
GA00900,Georgia,"Ben Hill, GA",Ben Hill County
GA00901,Georgia,"Ben Hill, GA",Fitzgerald
GA01000,Georgia,"Berrien, GA",Berrien County
GA01001,Georgia,"Berrien, GA",Nashville
GA01003,Georgia,"Berrien, GA",Ray City
GA01100,Georgia,"Bibb, GA",Bibb County
GA01101,Georgia,"Bibb, GA",Macon
GA01201,Georgia,"Bleckley, GA",Cochran
GA01300,Georgia,"Brantley, GA",Brantley County
GA01400,Georgia,"Brooks, GA",Brooks County
GA01401,Georgia,"Brooks, GA",Quitman
GA01500,Georgia,"Bryan, GA",Bryan County
GA01501,Georgia,"Bryan, GA",Pembroke
GA01502,Georgia,"Bryan, GA",Richmond Hill
GA01600,Georgia,"Bulloch, GA",Bulloch County
GA01601,Georgia,"Bulloch, GA",Statesboro
GA01700,Georgia,"Burke, GA",Burke County
GA01701,Georgia,"Burke, GA",Waynesboro
GA01703,Georgia,"Burke, GA",Sardis
GA01800,Georgia,"Butts, GA",Butts County
GA01901,Georgia,"Calhoun, GA",Arlington
GA02000,Georgia,"Camden, GA",Camden County
GA02001,Georgia,"Camden, GA",Kingsland
GA02002,Georgia,"Camden, GA",St. Marys
GA02101,Georgia,"Candler, GA",Metter
GA02200,Georgia,"Carroll, GA",Carroll County
GA02201,Georgia,"Carroll, GA",Carrollton
GA02202,Georgia,"Carroll, GA",Villa Rica
GA02300,Georgia,"Catoosa, GA",Catoosa County
GA02301,Georgia,"Catoosa, GA",Fort Oglethorpe
GA02400,Georgia,"Charlton, GA",Charlton County
GA02501,Georgia,"Chatham, GA",Chatham County Police Department
GA02502,Georgia,"Chatham, GA",Garden City
GA02503,Georgia,"Chatham, GA",Savannah
GA02504,Georgia,"Chatham, GA",Pooler
GA02505,Georgia,"Chatham, GA",Port Wentworth
GA02507,Georgia,"Chatham, GA",Thunderbolt
GA02510,Georgia,"Chatham, GA",Savannah State Universit
GA02516,Georgia,"Chatham, GA",Chatham Cty Board Of Ed
GA02600,Georgia,"Chattahoochee, GA",Chattahoochee County
GA02800,Georgia,"Cherokee, GA",Cherokee County
GA02801,Georgia,"Cherokee, GA",Canton
GA02803,Georgia,"Cherokee, GA",Holly Springs
GA02805,Georgia,"Cherokee, GA",Woodstock
GA02901,Georgia,"Clarke, GA",Athens-Clarke County
GA03000,Georgia,"Clay, GA",Clay County
GA03101,Georgia,"Clayton, GA",Clayton County Police Department
GA03102,Georgia,"Clayton, GA",Forest Park
GA03103,Georgia,"Clayton, GA",Morrow
GA03104,Georgia,"Clayton, GA",Jonesboro
GA03105,Georgia,"Clayton, GA",Riverdale
GA03106,Georgia,"Clayton, GA",Lake City
GA03108,Georgia,"Clayton, GA",Clayton State University
GA03200,Georgia,"Clinch, GA",Clinch County
GA03201,Georgia,"Clinch, GA",Homerville
GA03301,Georgia,"Cobb, GA",Austell
GA03302,Georgia,"Cobb, GA",Cobb County Police Department
GA03303,Georgia,"Cobb, GA",Marietta
GA03304,Georgia,"Cobb, GA",Smyrna
GA03305,Georgia,"Cobb, GA",Acworth
GA03306,Georgia,"Cobb, GA",Kennesaw
GA03308,Georgia,"Cobb, GA",Powder Springs
GA03400,Georgia,"Coffee, GA",Coffee County
GA03401,Georgia,"Coffee, GA",Douglas
GA03500,Georgia,"Colquitt, GA",Colquitt County
GA03501,Georgia,"Colquitt, GA",Moultrie
GA03503,Georgia,"Colquitt, GA",Doerun
GA03600,Georgia,"Columbia, GA",Columbia County
GA03601,Georgia,"Columbia, GA",Grovetown
GA03700,Georgia,"Cook, GA",Cook County
GA03701,Georgia,"Cook, GA",Adel
GA03703,Georgia,"Cook, GA",Sparks
GA03800,Georgia,"Coweta, GA",Coweta County
GA03801,Georgia,"Coweta, GA",Newnan
GA03803,Georgia,"Coweta, GA",Senoia
GA03900,Georgia,"Crawford, GA",Crawford County
GA04000,Georgia,"Crisp, GA",Crisp County
GA04001,Georgia,"Crisp, GA",Cordele
GA04100,Georgia,"Dade, GA",Dade County
GA04200,Georgia,"Dawson, GA",Dawson County
GA04300,Georgia,"Decatur, GA",Decatur County
GA04301,Georgia,"Decatur, GA",Bainbridge
GA04401,Georgia,"De Kalb, GA",Decatur
GA04402,Georgia,"De Kalb, GA",Dekalb County Police Department
GA04403,Georgia,"De Kalb, GA",Avondale Estates
GA04404,Georgia,"De Kalb, GA",Chamblee
GA04405,Georgia,"De Kalb, GA",Clarkston
GA04406,Georgia,"De Kalb, GA",Doraville
GA04407,Georgia,"De Kalb, GA",Lithonia
GA04409,Georgia,"De Kalb, GA",Stone Mountain
GA04414,Georgia,"De Kalb, GA",Emory University
GA04416,Georgia,"De Kalb, GA",Georgia Perimeter Colleg
GA04451,Georgia,"De Kalb, GA",Dekalb County School System
GA04471,Georgia,"De Kalb, GA",Dunwoody
GA04472,Georgia,"De Kalb, GA",Brook Haven
GA04500,Georgia,"Dodge, GA",Dodge County
GA04501,Georgia,"Dodge, GA",Eastman
GA04601,Georgia,"Dooly, GA",Vienna
GA04701,Georgia,"Dougherty, GA",Albany
GA04702,Georgia,"Dougherty, GA",Dougherty County Police Department
GA04800,Georgia,"Douglas, GA",Douglas County
GA04801,Georgia,"Douglas, GA",Douglasville
GA04900,Georgia,"Early, GA",Early County
GA04901,Georgia,"Early, GA",Blakely
GA05000,Georgia,"Echols, GA",Echols County
GA05100,Georgia,"Effingham, GA",Effingham County
GA05102,Georgia,"Effingham, GA",Rincon
GA05103,Georgia,"Effingham, GA",Springfield
GA05200,Georgia,"Elbert, GA",Elbert County
GA05201,Georgia,"Elbert, GA",Elberton
GA05300,Georgia,"Emanuel, GA",Emanuel County
GA05301,Georgia,"Emanuel, GA",Swainsboro
GA05401,Georgia,"Evans, GA",Claxton
GA05500,Georgia,"Fannin, GA",Fannin County
GA05600,Georgia,"Fayette, GA",Fayette County
GA05601,Georgia,"Fayette, GA",Fayetteville
GA05700,Georgia,"Floyd, GA",Floyd County
GA05701,Georgia,"Floyd, GA",Floyd County Police Department
GA05702,Georgia,"Floyd, GA",Rome
GA05800,Georgia,"Forsyth, GA",Forsyth County
GA05801,Georgia,"Forsyth, GA",Cumming
GA05900,Georgia,"Franklin, GA",Franklin County
GA05902,Georgia,"Franklin, GA",Lavonia
GA06000,Georgia,"Fulton, GA",Fulton County
GA06001,Georgia,"Fulton, GA",College Park
GA06002,Georgia,"Fulton, GA",East Point
GA06003,Georgia,"Fulton, GA",Hapeville
GA06004,Georgia,"Fulton, GA",Alpharetta
GA06005,Georgia,"Fulton, GA",Roswell
GA06006,Georgia,"Fulton, GA",Union City
GA06007,Georgia,"Fulton, GA",Fairburn
GA06008,Georgia,"Fulton, GA",Palmetto
GA06013,Georgia,"Fulton, GA",Fulton County Police Department
GA06021,Georgia,"Fulton, GA",Metro Atlanta Rapid Transit Authority
GA06027,Georgia,"Fulton, GA",Fulton County Marshal
GA06054,Georgia,"Fulton, GA",Atlanta Public Schools
GA06056,Georgia,"Fulton, GA",Sandy Spring
GA06057,Georgia,"Fulton, GA",Milton
GA06058,Georgia,"Fulton, GA",Johns Creek
GA06059,Georgia,"Fulton, GA",Unknown
GA06072,Georgia,"Fulton, GA",South Fulton
GA06100,Georgia,"Gilmer, GA",Gilmer County
GA06301,Georgia,"Glynn, GA",Brunswick
GA06302,Georgia,"Glynn, GA",Glynn County Police Department
GA06400,Georgia,"Gordon, GA",Gordon County
GA06401,Georgia,"Gordon, GA",Calhoun
GA06402,Georgia,"Gordon, GA",Fairmount
GA06500,Georgia,"Grady, GA",Grady County
GA06501,Georgia,"Grady, GA",Cairo
GA06600,Georgia,"Greene, GA",Greene County
GA06601,Georgia,"Greene, GA",Greensboro
GA06702,Georgia,"Gwinnett, GA",Gwinnett County Police Department
GA06703,Georgia,"Gwinnett, GA",Lawrenceville
GA06705,Georgia,"Gwinnett, GA",Duluth
GA06706,Georgia,"Gwinnett, GA",Lilburn
GA06707,Georgia,"Gwinnett, GA",Norcross
GA06708,Georgia,"Gwinnett, GA",Snellville
GA06709,Georgia,"Gwinnett, GA",Suwanee
GA06800,Georgia,"Habersham, GA",Habersham County
GA06801,Georgia,"Habersham, GA",Cornelia
GA06802,Georgia,"Habersham, GA",Clarkesville
GA06900,Georgia,"Hall, GA",Hall County
GA06901,Georgia,"Hall, GA",Gainesville
GA06903,Georgia,"Hall, GA",Flowery Branch
GA06904,Georgia,"Hall, GA",Oakwood
GA07100,Georgia,"Haralson, GA",Haralson County
GA07101,Georgia,"Haralson, GA",Bremen
GA07300,Georgia,"Hart, GA",Hart County
GA07301,Georgia,"Hart, GA",Hartwell
GA07400,Georgia,"Heard, GA",Heard County
GA07501,Georgia,"Henry, GA",Mcdonough
GA07503,Georgia,"Henry, GA",Hampton
GA07504,Georgia,"Henry, GA",Locust Grove
GA07505,Georgia,"Henry, GA",Henry County Police Department
GA07600,Georgia,"Houston, GA",Houston County
GA07601,Georgia,"Houston, GA",Perry
GA07602,Georgia,"Houston, GA",Warner Robins
GA07701,Georgia,"Irwin, GA",Ocilla
GA07800,Georgia,"Jackson, GA",Jackson County
GA07801,Georgia,"Jackson, GA",Commerce
GA07802,Georgia,"Jackson, GA",Jefferson
GA07804,Georgia,"Jackson, GA",Arcade
GA07806,Georgia,"Jackson, GA",Braselton
GA08000,Georgia,"Jeff Davis, GA",Jeff Davis County
GA08001,Georgia,"Jeff Davis, GA",Hazlehurst
GA08100,Georgia,"Jefferson, GA",Jefferson County
GA08103,Georgia,"Jefferson, GA",Wrens
GA08300,Georgia,"Johnson, GA",Johnson County
GA08301,Georgia,"Johnson, GA",Wrightsville
GA08400,Georgia,"Jones, GA",Jones County
GA08401,Georgia,"Jones, GA",Gray
GA08500,Georgia,"Lamar, GA",Lamar County
GA08501,Georgia,"Lamar, GA",Barnesville
GA08600,Georgia,"Lanier, GA",Lanier County
GA08601,Georgia,"Lanier, GA",Lakeland
GA08700,Georgia,"Laurens, GA",Laurens County
GA08701,Georgia,"Laurens, GA",Dublin
GA08800,Georgia,"Lee, GA",Lee County
GA08801,Georgia,"Lee, GA",Leesburg
GA08900,Georgia,"Liberty, GA",Liberty County
GA08901,Georgia,"Liberty, GA",Hinesville
GA09000,Georgia,"Lincoln, GA",Lincoln County
GA09100,Georgia,"Long, GA",Long County
GA09200,Georgia,"Lowndes, GA",Lowndes County
GA09201,Georgia,"Lowndes, GA",Valdosta
GA09205,Georgia,"Lowndes, GA",Valdosta State Universit
GA09300,Georgia,"Lumpkin, GA",Lumpkin County
GA09400,Georgia,"McDuffie, GA",Mcduffie County
GA09500,Georgia,"McIntosh, GA",Mcintosh County
GA09601,Georgia,"Macon, GA",Montezuma
GA09604,Georgia,"Macon, GA",Oglethorpe
GA09700,Georgia,"Madison, GA",Madison County
GA09801,Georgia,"Marion, GA",Buena Vista
GA09900,Georgia,"Meriwether, GA",Meriwether County
GA09901,Georgia,"Meriwether, GA",Manchester
GA09904,Georgia,"Meriwether, GA",Woodbury
GA10001,Georgia,"Miller, GA",Colquitt
GA10100,Georgia,"Mitchell, GA",Mitchell County
GA10101,Georgia,"Mitchell, GA",Camilla
GA10103,Georgia,"Mitchell, GA",Pelham
GA10200,Georgia,"Monroe, GA",Monroe County
GA10201,Georgia,"Monroe, GA",Forsyth
GA10401,Georgia,"Morgan, GA",Madison
GA10500,Georgia,"Murray, GA",Murray County
GA10600,Georgia,"Muscogee, GA",Muscogee County
GA10601,Georgia,"Muscogee, GA",Columbus
GA10700,Georgia,"Newton, GA",Newton County
GA10701,Georgia,"Newton, GA",Covington
GA10800,Georgia,"Oconee, GA",Oconee County
GA10900,Georgia,"Oglethorpe, GA",Oglethorpe County
GA11000,Georgia,"Paulding, GA",Paulding County
GA11001,Georgia,"Paulding, GA",Dallas
GA11002,Georgia,"Paulding, GA",Hiram
GA11100,Georgia,"Peach, GA",Peach County
GA11101,Georgia,"Peach, GA",Fort Valley
GA11102,Georgia,"Peach, GA",Byron
GA11103,Georgia,"Peach, GA",Fort Valley State Univer
GA11200,Georgia,"Pickens, GA",Pickens County
GA11300,Georgia,"Pierce, GA",Pierce County
GA11301,Georgia,"Pierce, GA",Blackshear
GA11400,Georgia,"Pike, GA",Pike County
GA11501,Georgia,"Polk, GA",Cedartown
GA11502,Georgia,"Polk, GA",Rockmart
GA11503,Georgia,"Polk, GA",Polk County Police Department
GA11600,Georgia,"Pulaski, GA",Pulaski County
GA11700,Georgia,"Putnam, GA",Putnam County
GA11701,Georgia,"Putnam, GA",Eatonton
GA11900,Georgia,"Rabun, GA",Rabun County
